accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,brier,log_loss,threshold,tn,fp,fn,tp,expected_cost
0.9604885057471264,0.5795964125560539,0.47368421052631576,0.16666666666666666,0.2465753424657534,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.42000000000000004,1328,10,45,9,1.6522988505747127
0.9612068965517241,0.5710845374522504,0.5,0.14814814814814814,0.22857142857142856,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.43000000000000005,1330,8,46,8,1.6810344827586208
0.9612068965517241,0.5621989702707191,0.5,0.12962962962962962,0.20588235294117646,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.44,1331,7,47,7,1.7133620689655173
0.9619252873563219,0.562572662348447,0.5384615384615384,0.12962962962962962,0.208955223880597,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.45,1332,6,47,7,1.7097701149425288
0.9612068965517241,0.5533134030891879,0.5,0.1111111111111111,0.18181818181818182,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.46,1332,6,48,6,1.7456896551724137
0.9604885057471264,0.5440541438299286,0.45454545454545453,0.09259259259259259,0.15384615384615385,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.47000000000000003,1332,6,49,5,1.7816091954022988
0.9604885057471264,0.5262830094668659,0.42857142857142855,0.05555555555555555,0.09836065573770492,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.48000000000000004,1334,4,51,3,1.846264367816092
0.9626436781609196,0.5274040857000498,0.75,0.05555555555555555,0.10344827586206896,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.49000000000000005,1337,1,51,3,1.8354885057471264
0.9626436781609196,0.5274040857000498,0.75,0.05555555555555555,0.10344827586206896,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.5,1337,1,51,3,1.8354885057471264
0.9619252873563219,0.5181448264407905,0.6666666666666666,0.037037037037037035,0.07017543859649122,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.51,1337,1,52,2,1.8714080459770115
0.9626436781609196,0.5185185185185185,1.0,0.037037037037037035,0.07142857142857142,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.52,1338,0,52,2,1.867816091954023
0.9619252873563219,0.5092592592592593,1.0,0.018518518518518517,0.03636363636363636,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.53,1338,0,53,1,1.903735632183908
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.54,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.55,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.56,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.5700000000000001,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.5800000000000001,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.5900000000000001,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.6,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.61,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.62,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.63,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.64,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.65,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.66,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.67,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.68,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.6900000000000001,1338,0,54,0,1.9396551724137931
0.9612068965517241,0.5,0.0,0.0,0.0,0.8940375352931406,0.4178289116923198,0.027337509316994187,0.1015694604288189,0.7000000000000001,1338,0,54,0,1.9396551724137931
